protocol_id,preprocessing_protocol,trace_protocol,kernel_normalization,q,model,baseline,mean_f1,std_f1,baseline_mean_f1,baseline_std_f1,delta_f1,wins,ties,losses,seeds
train_only__legacy_trace,train_only,,none,4,merlin_fidelity,rbf_tuned,0.7554328196347831,0.13361922693798772,0.7599634857895727,0.12126183894844912,-0.004530666154789575,4,2,4,10
train_only__legacy_trace,train_only,,none,6,merlin_fidelity,linear_c1,0.7700213521593771,0.09642693513159886,0.7860083326145589,0.09489493690862844,-0.01598698045518184,2,3,5,10
train_only__legacy_trace,train_only,,none,6,merlin_fidelity,rbf_tuned,0.7700213521593771,0.09642693513159886,0.814960034281803,0.08697780397430821,-0.044938682122425855,1,1,8,10
train_only__legacy_trace,train_only,legacy_square_only,,4,qsvm,linear_c1,0.8137265229324054,0.05726968505315295,0.7580087757731289,0.07952045503460121,0.05571774715927639,8,0,2,10
train_only__legacy_trace,train_only,legacy_square_only,,4,qsvm,rbf_tuned,0.8137265229324054,0.05726968505315295,0.7599634857895727,0.12126183894844912,0.05376303714283255,6,1,3,10
train_only__legacy_trace,train_only,legacy_square_only,,6,qsvm,linear_c1,0.8221052931311551,0.07791171259629721,0.7860083326145589,0.09489493690862844,0.0360969605165963,7,0,3,10
train_only__legacy_trace,train_only,legacy_square_only,,6,qsvm,rbf_tuned,0.8221052931311551,0.07791171259629721,0.814960034281803,0.08697780397430821,0.007145258849352287,4,1,5,10
train_only__train_trace,train_only,,train_trace,4,merlin_fidelity,linear_c1,0.0,0.0,0.7580087757731289,0.07952045503460121,-0.7580087757731289,0,0,10,10
train_only__train_trace,train_only,,train_trace,4,merlin_fidelity,rbf_tuned,0.0,0.0,0.7599634857895727,0.12126183894844912,-0.7599634857895727,0,0,10,10
train_only__train_trace,train_only,,train_trace,6,merlin_fidelity,linear_c1,0.0,0.0,0.7860083326145589,0.09489493690862844,-0.7860083326145589,0,0,10,10
train_only__train_trace,train_only,,train_trace,6,merlin_fidelity,rbf_tuned,0.0,0.0,0.814960034281803,0.08697780397430821,-0.814960034281803,0,0,10,10
train_only__train_trace,train_only,train_trace,,4,qsvm,linear_c1,0.0,0.0,0.7580087757731289,0.07952045503460121,-0.7580087757731289,0,0,10,10
train_only__train_trace,train_only,train_trace,,4,qsvm,rbf_tuned,0.0,0.0,0.7599634857895727,0.12126183894844912,-0.7599634857895727,0,0,10,10
train_only__train_trace,train_only,train_trace,,6,qsvm,linear_c1,0.0,0.0,0.7860083326145589,0.09489493690862844,-0.7860083326145589,0,0,10,10
train_only__train_trace,train_only,train_trace,,6,qsvm,rbf_tuned,0.0,0.0,0.814960034281803,0.08697780397430821,-0.814960034281803,0,0,10,10
